restaurant_name,restaurant_rating,restaurant_number_reviews,restaurant_rank,restaurant_postcode
Akira Sushi,2.5,80,2355,41001
Ostreria & Sushi De Mercado,3.5,176,2141,41010
McSushi San Pablo,4,5,1790,41001
sushi eñe,4,8,1709,41002
NIGISHI SUSHI,3.5,30,1304,41005
SAKURA Japanese Restaurant,3.5,83,1310,41005
Sushi Fusion,4,19,1251,41012
Edamame,4,70,98,41013
Kaede,3.5,95,85,41009
Kaede,3.5,302,86,41004
Japones Sushi Chaki,4,76,86,41011
Takumi,4,98,78,41003
Taiyo Sushi Bar Restaurante Japonés,4,104,69,41005
UDON Torre Sevilla,4,87,59,41092
Miss Sushi Sevilla Restaurante Japonés,4,183,60,41001
Samurai,4,224,59,41010
Sushi 81,4.5,64,53,41110
Iki,4,61,54,41018
Restaurante Japonés Oshiro,4,151,59,41020
5Sushi Take Away,5,27,45,41008
La Hermandad del Sushi,4,69,42,41003
Wasabi,4,149,44,41002
Mizüshi,4,174,49,41004
Kakure Sushibar,4,249,38,41001
Restaurante Japonés You Sushi,4,228,34,41003
Rollojapo,4.5,154,35,41009
YAMAZAKI,4,256,26,41003
Origami,4.5,159,26,41004
Matsuri,4.5,405,14,NA
Akashito Sushi,4.5,172,15,41010
Sibuya Urban Sushi Bar,4.5,424,4,41001
